acousticness_very_high|instrumentalness_high|tempo_very_low → energy_very_low|loudness_very_low|valence_very_low (supp=0.023, conf=0.64, lift=7.60, lev=0.0201)
energy_very_low|speechiness_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.030, conf=0.72, lift=7.56, lev=0.0257)
danceability_very_low|instrumentalness_high|speechiness_low → energy_very_low|loudness_very_low|valence_very_low (supp=0.022, conf=0.63, lift=7.53, lev=0.0191)
acousticness_very_high|instrumentalness_high|loudness_very_low|mode_1|valence_very_low → danceability_very_low|energy_very_low (supp=0.022, conf=0.75, lift=7.53, lev=0.0192)
danceability_very_low|energy_very_low|instrumentalness_high|mode_1 → loudness_very_low|valence_very_low (supp=0.026, conf=0.78, lift=7.53, lev=0.0221)
danceability_very_low|energy_very_low|speechiness_low → acousticness_very_high|valence_very_low (supp=0.028, conf=0.66, lift=7.51, lev=0.0243)
acousticness_very_high|danceability_very_low|energy_very_low|instrumentalness_high|mode_1 → loudness_very_low|valence_very_low (supp=0.022, conf=0.77, lift=7.48, lev=0.0192)
acousticness_very_high|danceability_very_low|instrumentalness_high → loudness_very_low|valence_very_low (supp=0.036, conf=0.77, lift=7.48, lev=0.0312)
energy_very_low|instrumentalness_high|mode_1|valence_very_low → danceability_very_low|loudness_very_low (supp=0.026, conf=0.72, lift=7.48, lev=0.0221)
instrumentalness_high|loudness_very_low|tempo_very_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.022, conf=0.74, lift=7.41, lev=0.0194)
danceability_very_low|loudness_very_low|speechiness_low → acousticness_very_high|valence_very_low (supp=0.027, conf=0.65, lift=7.40, lev=0.0235)
energy_very_low|loudness_very_low|tempo_very_low|valence_very_low → acousticness_very_high|danceability_very_low (supp=0.028, conf=0.69, lift=7.38, lev=0.0240)
acousticness_very_high|mode_1|tempo_very_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.021, conf=0.73, lift=7.38, lev=0.0180)
danceability_very_low|instrumentalness_high|loudness_very_low|speechiness_low → energy_very_low|valence_very_low (supp=0.022, conf=0.77, lift=7.37, lev=0.0190)
acousticness_very_high|energy_very_low|instrumentalness_high|tempo_very_low → danceability_very_low|loudness_very_low (supp=0.023, conf=0.70, lift=7.36, lev=0.0199)
acousticness_very_high|instrumentalness_high|loudness_very_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.034, conf=0.73, lift=7.32, lev=0.0294)
acousticness_very_high|tempo_very_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.031, conf=0.73, lift=7.31, lev=0.0263)
acousticness_very_high|danceability_very_low|loudness_very_low|speechiness_low → energy_very_low|instrumentalness_high (supp=0.024, conf=0.66, lift=7.30, lev=0.0203)
