,precision,recall,f1-score,support
metal,0.13953488372093023,0.02702702702702703,0.045283018867924525,222.0
metalcore,0.20874751491053678,0.3025936599423631,0.24705882352941178,694.0
minimal-techno,0.32608695652173914,0.47313084112149534,0.38608198284080075,856.0
mpb,0.10734463276836158,0.07402597402597402,0.08762490392006149,770.0
new-age,0.3772691397000789,0.4932920536635707,0.4275491949910555,969.0
opera,0.3224956063268893,0.4443099273607748,0.37372708757637474,826.0
pagode,0.3610687022900763,0.5691937424789411,0.44184960298925735,831.0
party,0.285099052540913,0.47083926031294454,0.3551502145922747,703.0
piano,0.4540636042402827,0.34965986394557824,0.3950807071483474,735.0
pop,0.2804878048780488,0.0749185667752443,0.11825192802056556,307.0
pop-film,0.19298245614035087,0.2129032258064516,0.20245398773006135,775.0
power-pop,0.22869198312236286,0.3114942528735632,0.2637469586374696,870.0
progressive-house,0.2463768115942029,0.28936170212765955,0.26614481409001955,705.0
psych-rock,0.13358778625954199,0.06140350877192982,0.08413461538461539,570.0
punk,0.125,0.014018691588785047,0.025210084033613446,214.0
punk-rock,0.14775725593667546,0.08945686900958466,0.11144278606965174,626.0
r-n-b,0.35148514851485146,0.15777777777777777,0.21779141104294478,450.0
reggae,0.1276595744680851,0.03428571428571429,0.05405405405405406,175.0
reggaeton,0.0,0.0,0.0,69.0
rock,0.32558139534883723,0.07608695652173914,0.12334801762114538,184.0
rock-n-roll,0.21141649048625794,0.24096385542168675,0.22522522522522523,830.0
rockabilly,0.15634218289085547,0.0920138888888889,0.11584699453551912,576.0
romance,0.39943342776203966,0.4768883878241263,0.434737923946557,887.0
sad,0.19153225806451613,0.1756007393715342,0.18322082931533268,541.0
salsa,0.3883183568677792,0.6335078534031413,0.48149621965777956,955.0
samba,0.24093816631130063,0.18022328548644337,0.2062043795620438,627.0
sertanejo,0.297029702970297,0.406905055487053,0.3433922996878252,811.0
show-tunes,0.22090729783037474,0.2589595375722543,0.23842469398616284,865.0
singer-songwriter,0.14814814814814814,0.06263982102908278,0.0880503144654088,447.0
ska,0.14109347442680775,0.10869565217391304,0.12279355333844973,736.0
sleep,0.7123015873015873,0.7898789878987899,0.7490871152842984,909.0
soul,0.22641509433962265,0.04395604395604396,0.0736196319018405,273.0
spanish,0.134375,0.04725274725274725,0.06991869918699187,910.0
study,0.4864864864864865,0.8493975903614458,0.6186471663619744,996.0
swedish,0.1282051282051282,0.03698224852071006,0.0574052812858783,676.0
synth-pop,0.18314424635332252,0.1469440832249675,0.16305916305916307,769.0
tango,0.430406852248394,0.6060301507537689,0.503338898163606,995.0
techno,0.22608695652173913,0.06388206388206388,0.09961685823754789,407.0
trance,0.4110512129380054,0.44525547445255476,0.42747021723896284,685.0
trip-hop,0.21074964639321075,0.16912599318955732,0.18765743073047858,881.0
turkish,0.10728744939271255,0.06198830409356725,0.07857672349888807,855.0
world-music,0.2685624012638231,0.3744493392070485,0.31278748850046,908.0
accuracy,0.2772194204530481,0.2772194204530481,0.2772194204530481,0.2772194204530481
macro avg,0.24030390641378,0.23967274720756732,0.22717278971242608,83479.0
weighted avg,0.2565715945892999,0.2772194204530481,0.2565515772953177,83479.0
