support,itemsets,support_count,itemset_str
0.0909450280908971,"frozenset({'instrumentalness_high', 'energy_very_low'})",7592,energy_very_low|instrumentalness_high
0.09092106996969297,"frozenset({'instrumentalness_low', 'mode_1', 'duration_ms_high'})",7590,duration_ms_high|instrumentalness_low|mode_1
0.0908731537272847,"frozenset({'mode_0', 'loudness_low'})",7586,loudness_low|mode_0
0.0908012793636723,"frozenset({'mode_0', 'acousticness_high'})",7580,acousticness_high|mode_0
0.09077732124246816,"frozenset({'liveness_high', 'mode_0'})",7578,liveness_high|mode_0
0.09054971909102888,"frozenset({'valence_very_low', 'duration_ms_very_high'})",7559,duration_ms_very_high|valence_very_low
0.09053774003042682,"frozenset({'instrumentalness_low', 'danceability_very_low'})",7558,danceability_very_low|instrumentalness_low
0.09045388660621234,"frozenset({'valence_low', 'mode_0'})",7551,mode_0|valence_low
0.08996274512152758,"frozenset({'instrumentalness_low', 'duration_ms_very_high'})",7510,duration_ms_very_high|instrumentalness_low
0.08963931048527174,"frozenset({'mode_0', 'liveness_low'})",7483,liveness_low|mode_0
0.08962733142466968,"frozenset({'tempo_very_high', 'energy_very_high'})",7482,energy_very_high|tempo_very_high
0.0896153523640676,"frozenset({'danceability_very_high', 'acousticness_low'})",7481,acousticness_low|danceability_very_high
0.08953149893985314,"frozenset({'mode_0', 'liveness_very_high'})",7474,liveness_very_high|mode_0
0.08922004336419938,"frozenset({'mode_0', 'tempo_very_high'})",7448,mode_0|tempo_very_high
0.0891002527581787,"frozenset({'acousticness_very_low', 'mode_1', 'energy_very_high'})",7438,acousticness_very_low|energy_very_high|mode_1
0.08892056684914769,"frozenset({'mode_0', 'tempo_very_low'})",7423,mode_0|tempo_very_low
0.08868098563710634,"frozenset({'loudness_very_high', 'acousticness_very_low', 'energy_very_high'})",7403,acousticness_very_low|energy_very_high|loudness_very_high
0.08842942536446292,"frozenset({'loudness_very_low', 'liveness_low'})",7382,liveness_low|loudness_very_low
0.08826171851603397,"frozenset({'instrumentalness_low', 'loudness_low', 'mode_1'})",7368,instrumentalness_low|loudness_low|mode_1
0.08808203260700295,"frozenset({'liveness_low', 'acousticness_very_high'})",7353,acousticness_very_high|liveness_low
0.08793828387977815,"frozenset({'tempo_very_low', 'loudness_very_low'})",7341,loudness_very_low|tempo_very_low
0.08791432575857401,"frozenset({'key_low', 'mode_0'})",7339,key_low|mode_0
0.08779453515255334,"frozenset({'danceability_very_low', 'tempo_very_high'})",7329,danceability_very_low|tempo_very_high
0.08774661891014507,"frozenset({'valence_very_low', 'acousticness_very_high'})",7325,acousticness_very_high|valence_very_low
0.08772266078894093,"frozenset({'instrumentalness_low', 'tempo_very_high', 'mode_1'})",7323,instrumentalness_low|mode_1|tempo_very_high
0.08767474454653267,"frozenset({'speechiness_high', 'energy_very_high'})",7319,energy_very_high|speechiness_high
0.08757891206171613,"frozenset({'instrumentalness_low', 'liveness_high', 'mode_1'})",7311,instrumentalness_low|liveness_high|mode_1
0.08753099581930784,"frozenset({'duration_ms_very_low', 'loudness_very_low'})",7307,duration_ms_very_low|loudness_very_low
0.08696797997101068,"frozenset({'loudness_very_high', 'tempo_very_high'})",7260,loudness_very_high|tempo_very_high
0.0869200637286024,"frozenset({'mode_0', 'valence_very_high'})",7256,mode_0|valence_very_high
0.08687214748619414,"frozenset({'danceability_very_high', 'speechiness_very_high'})",7252,danceability_very_high|speechiness_very_high
0.08678829406197966,"frozenset({'instrumentalness_low', 'tempo_very_low', 'mode_1'})",7245,instrumentalness_low|mode_1|tempo_very_low
0.08670444063776518,"frozenset({'liveness_very_low', 'danceability_very_high'})",7238,danceability_very_high|liveness_very_low
0.0860336132440494,"frozenset({'speechiness_very_low', 'energy_low'})",7182,energy_low|speechiness_very_low
0.08600965512284527,"frozenset({'instrumentalness_low', 'acousticness_very_high', 'mode_1'})",7180,acousticness_very_high|instrumentalness_low|mode_1
0.0859976760622432,"frozenset({'danceability_very_high', 'tempo_low'})",7179,danceability_very_high|tempo_low
0.08597371794103906,"frozenset({'instrumentalness_low', 'mode_1', 'key_high'})",7177,instrumentalness_low|key_high|mode_1
0.08580601109261012,"frozenset({'valence_low', 'instrumentalness_low', 'mode_1'})",7163,instrumentalness_low|mode_1|valence_low
0.08560236706237496,"frozenset({'instrumentalness_low', 'speechiness_very_high', 'mode_1'})",7146,instrumentalness_low|mode_1|speechiness_very_high
0.08513518369889433,"frozenset({'duration_ms_very_low', 'instrumentalness_low', 'mode_1'})",7107,duration_ms_very_low|instrumentalness_low|mode_1
0.08494351872926126,"frozenset({'valence_very_high', 'acousticness_high'})",7091,acousticness_high|valence_very_high
0.08488362342625091,"frozenset({'danceability_very_low', 'mode_0'})",7086,danceability_very_low|mode_0
0.08472789563842403,"frozenset({'mode_0', 'loudness_very_low'})",7073,loudness_very_low|mode_0
0.08447633536578061,"frozenset({'liveness_very_high', 'speechiness_very_high'})",7052,liveness_very_high|speechiness_very_high
0.0842607122749434,"frozenset({'mode_0', 'danceability_low'})",7034,danceability_low|mode_0
0.08420081697193306,"frozenset({'valence_very_low', 'loudness_very_low', 'energy_very_low'})",7029,energy_very_low|loudness_very_low|valence_very_low
0.08416487979012686,"frozenset({'danceability_very_low', 'acousticness_very_low'})",7026,acousticness_very_low|danceability_very_low
